run_id,experiment_id,metrics.test_accuracy,metrics.val_accuracy,params.dataset_name,params.runtime_model_tuning,params.series_length,params.runtime_actual_seconds,params.runtime_userdefined_seconds,params.num_channels,params.runtime_best_model_training,params.num_classes,params.num_instances,params.num_epochs,params.num_models_estimated
fdf26350638f400a84fe322c0d7cef7d,12,0.7828947305679321,0.8387096524238586,RacketSports,124,30,128,840,6,4,4,151,30,10
9a8fbe2161834b0c8cddaa36c8877fff,12,0.800000011920929,0.949999988079071,ECG200,269,96,273,840,1,4,2,100,30,9
b6c101154ae242c8a25dad6bc928e436,12,0.3333333432674408,0.4166666567325592,Car,315,577,320,840,1,5,4,60,30,7
6bfaff199705460fb0177bea0565ddb8,12,0.21919479966163635,0.20977596938610077,LSST,165,36,193,660,6,28,13,2452,30,10
be99b09ccdde4f7abafa03a22f9acc64,12,0.6841492056846619,0.6388888955116272,PhalangesOutlinesCorrect,103,80,274,660,1,171,2,1800,30,8
fe7e1be8cbaf41829475b3a1db672891,12,0.890625,0.9166666865348816,UWaveGestureLibrary,352,315,373,660,3,21,8,120,30,9
01b3f4979631421a973635a65b5ccfe4,12,0.45945945382118225,0.4375,HandMovementDirection,743,400,748,660,10,5,4,160,30,8
029fc7ee412b4b04b11de3015f3da55e,12,0.9800000190734863,1.0,SmoothSubspace,58,15,61,660,1,3,3,150,30,9
cd197fe964624155acef4fffb9d79a09,12,0.7729730010032654,0.8861788511276245,Strawberry,949,235,993,660,1,44,2,613,30,8
7da0284f448c47c1ae4165603060d4ed,12,0.9333333373069763,0.9722222089767456,PowerCons,335,144,367,660,1,32,2,180,30,8
1c840bc6be56478e83cd06f93aa7d1ec,12,0.2857142984867096,0.6625000238418579,MiddlePhalanxOutlineAgeGroup,47,80,64,660,1,17,3,400,30,9
c1c61a41d98c4969b5c4d430dee2eb1d,12,0.9159212708473206,0.9189944267272949,ALFA,89,40,690,660,12,601,2,2792,30,8
4e968b39f02a4355867bd1174d6e57e4,12,0.2857142984867096,0.28205129504203796,U-Boot,435,180,462,660,16,27,5,975,30,9
3aa18803dd024e8ca22b93826fe65fce,12,0.5400000214576721,0.484375,FingerMovements,179,50,181,660,28,2,2,316,30,9
